City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Salinopolis,BR,2021-06-02 15:32:08,-0.6136,-47.3561,84.79,70,12,10.89
184,Huarmey,PE,2021-06-02 15:32:08,-10.0681,-78.1522,68.79,76,100,6.67
185,Ulaanbaatar,MN,2021-06-02 15:29:44,47.9077,106.8832,48.33,71,40,5.03
186,Ribeira Grande,PT,2021-06-02 15:32:09,38.5167,-28.7,66.6,48,20,11.5
187,Kurilsk,RU,2021-06-02 15:32:09,45.2333,147.8833,43.0,73,31,2.95
188,Nome,US,2021-06-02 15:32:10,64.5011,-165.4064,37.47,60,90,5.75
189,Merauke,ID,2021-06-02 15:32:10,-8.4667,140.3333,76.23,88,99,10.78
190,Nanortalik,GL,2021-06-02 15:32:10,60.1432,-45.2371,40.87,81,100,11.65
191,Baherden,TM,2021-06-02 15:29:46,38.4362,57.4316,100.62,13,0,5.06
192,Itarema,BR,2021-06-02 15:32:11,-2.9248,-39.9167,86.36,62,47,13.42
193,Pimentel,PE,2021-06-02 15:32:11,-6.8367,-79.9342,69.01,81,90,3.0
194,Svetlogorsk,BY,2021-06-02 15:32:11,52.6333,29.7333,60.42,68,85,9.46
195,Henties Bay,NA,2021-06-02 15:32:12,-22.116,14.2845,68.86,51,0,9.78
196,Pangnirtung,CA,2021-06-02 15:32:12,66.1451,-65.7125,32.0,93,90,9.22
197,Port Hardy,CA,2021-06-02 15:32:12,50.6996,-127.4199,53.78,100,75,0.0
198,Corowa,AU,2021-06-02 15:32:13,-36.0333,146.3833,50.38,97,100,6.98
199,Nesna,NO,2021-06-02 15:32:13,66.1967,13.0213,81.12,63,23,3.15
200,Yining,CN,2021-06-02 15:32:13,29.0361,114.5636,76.05,95,69,1.81
201,Korop,UA,2021-06-02 15:32:14,51.5664,32.9586,59.27,72,71,15.59
202,Antalaha,MG,2021-06-02 15:32:14,-14.9003,50.2788,74.71,79,49,10.0
203,Aleksandrov Gay,RU,2021-06-02 15:32:14,50.147,48.5704,70.75,78,86,15.82
204,Kodiak,US,2021-06-02 15:32:15,57.79,-152.4072,45.91,87,90,8.05
205,Petropavlovka,RU,2021-06-02 15:32:15,50.6114,105.3196,51.82,71,76,4.54
206,Maceio,BR,2021-06-02 15:32:15,-9.6658,-35.7353,81.84,74,75,11.77
207,Oytal,KZ,2021-06-02 15:32:16,42.9057,73.2697,73.26,43,96,12.3
208,Honiara,SB,2021-06-02 15:32:16,-9.4333,159.95,77.68,83,23,5.14
209,Rincon,US,2021-06-02 15:32:16,32.296,-81.2354,84.11,69,75,4.61
210,Muroto,JP,2021-06-02 15:32:17,33.2833,134.15,69.33,87,100,12.21
211,Grindavik,IS,2021-06-02 15:32:17,63.8424,-22.4338,50.56,66,75,10.22
212,Rio Grande,BR,2021-06-02 15:32:17,-32.035,-52.0986,71.71,61,60,14.09
213,Sunland Park,US,2021-06-02 15:32:17,31.7965,-106.58,80.38,40,1,5.01
214,Cherskiy,RU,2021-06-02 15:32:18,68.75,161.3,46.04,47,41,7.23
215,Synya,RU,2021-06-02 15:32:18,65.3718,58.0387,46.78,49,80,11.03
216,Port Alfred,ZA,2021-06-02 15:32:18,-33.5906,26.891,62.38,76,94,16.87
217,Ponta Do Sol,PT,2021-06-02 15:32:19,32.6667,-17.1,65.03,90,96,9.31
218,Mandera,KE,2021-06-02 15:32:19,3.9366,41.867,89.33,32,90,14.97
219,Pandan,PH,2021-06-02 15:32:19,14.0453,124.1694,80.26,84,88,10.13
